Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C13, C14, C15, C16, C6",0603,8,1uF,C15849
"C2, C7",0603,2,22nF,C21122
"C3, C4, C8, C9",0805,4,10uF,C1779
C5,0805,1,22uF,C59461
"D1, D6, D7",D_SOD-323,3,1N4148,C2128
D10,D_SMA,1,1.5KExxA,C2925443
D8,0805,1,LED,C84256
F1,1206,1,Polyfuse,C70065
J1,Molex_SL_171971-0017_1x17_P2.54mm_Vertical,1,Conn_01x17,
J2,Molex_KK-254_AE-6410-08A_1x08_P2.54mm_Vertical,1,Conn_01x08,
J3,"PhoenixContact_MCV_1,5_6-G-3.81_1x06_P3.81mm_Vertical",1,Conn_01x06,C69810
J4,Tag-Connect_TC2030-IDC-FP_2x03_P1.27mm_Vertical,1,Conn_02x03_Odd_Even,
J5,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
L1,1210,1,4.7uH,C42455445
L2,0805,1,10uH,C281113
"Q1, Q5",SOT-23,2,BSS123,C784617
"Q10, Q11, Q13, Q15, Q17, Q18, Q19, Q2, Q25, Q26, Q27, Q3, Q32, Q33, Q39, Q40, Q41, Q44, Q45, Q46, Q52, Q53, Q54, Q58, Q63, Q68, Q74, Q77, Q81, Q83, Q87",SOT-23,31,ST1005SRG,C2682898
"Q14, Q20",SOT-23,2,2N7002,C8545
"R1, R10, R36",0603,3,2.4k,C22940
"R11, R17, R18, R19, R20, R21, R22, R23, R24, R28, R29, R30, R31, R32, R38, R39, R40",0805,17,10R,C17415
"R12, R13, R14, R15, R25, R26, R27, R3, R34, R35, R37, R4, R42, R46, R49, R55, R59, R6, R7, R8",0603,20,10k,C25804
R16,0603,1,51k,C23196
"R2, R33",0603,2,5.1k,C23186
"R41, R44",0603,2,1k,C21190
R5,0603,1,15k,C22809
R9,0603,1,100R,C22775
"RN1, RN2, RN3, RN4, RN5",R_Array_Concave_4x0603,5,1k2,C30295
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,PCA9536D,C42381015
"U10, U12, U13, U17, U18, U19, U20, U21, U22, U23, U24, U25, U26, U27, U28, U3, U9",SOP-4_3.8x4.1mm_P2.54mm,17,EL357N,C6649
U11,SOT-23-6,1,SCT2401TVBR,C2830166
U14,LQFP-48_7x7mm_P0.5mm,1,STM32F103CBTx,C8304
U15,SOT-353_SC-70-5,1,74AHC1G125,C151890
U16,SOIC-8_3.9x4.9mm_P1.27mm,1,"TJA1050T/CM,118",C6952
U2,SOT-23-6,1,MCP3421A0T-ECH,C29454
U29,SOT-23-3,1,HT7553,C347215
U30,LGA-16_4.6x5.2_P0.65,1,IS2631HA,C18186271
"U4, U5",SOIC-16_3.9x9.9mm_P1.27mm,2,74HC238,C5620
U8,SOT-23,1,XC6206P332MR,C5446
